epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2065.54,1.32726,5.34653,0.96845,0.60281,0.08602,0.05122,0.03786,1.12516,4.26232,0.90777,5.69772e-05,5.69772e-05,5.69772e-05
2,4075.92,1.20804,3.69056,0.90528,0.61525,0.16276,0.17716,0.12818,1.04507,3.01397,0.90373,0.000112047,0.000112047,0.000112047
3,6077.65,1.11949,2.84418,0.89343,0.71356,0.25017,0.28691,0.20367,0.96875,2.59114,0.894,0.000164847,0.000164847,0.000164847
4,8084.82,1.06979,2.40887,0.88662,0.64013,0.33886,0.36407,0.26159,0.92336,2.34347,0.88866,0.000161783,0.000161783,0.000161783
5,10167.6,1.04142,2.0982,0.87892,0.74539,0.39109,0.45615,0.32222,0.89813,1.76813,0.88212,0.000158378,0.000158378,0.000158378
6,12293.3,1.01361,1.87101,0.8721,0.72647,0.47521,0.54473,0.39091,0.86189,1.61831,0.88001,0.000154972,0.000154972,0.000154972
7,15003,0.9725,1.67558,0.8748,0.64256,0.55338,0.60617,0.43699,0.88138,1.57954,0.8744,0.000151566,0.000151566,0.000151566
8,17176.8,0.95038,1.52076,0.86608,0.69746,0.59208,0.67661,0.4907,0.8517,1.33484,0.87854,0.000148161,0.000148161,0.000148161
9,19357.4,0.93652,1.43518,0.86422,0.80854,0.62173,0.72583,0.53035,0.82146,1.24807,0.86367,0.000144755,0.000144755,0.000144755
10,21626.6,0.93402,1.32512,0.8634,0.80468,0.68536,0.7654,0.55253,0.82872,1.17638,0.85732,0.00014135,0.00014135,0.00014135
11,23622.3,0.90135,1.24937,0.85772,0.78691,0.71525,0.78095,0.56797,0.83833,1.1489,0.87112,0.000137944,0.000137944,0.000137944
12,25615.1,0.9026,1.19215,0.85953,0.81409,0.74089,0.81226,0.59511,0.82036,1.07481,0.86277,0.000134538,0.000134538,0.000134538
13,27601.6,0.89073,1.15241,0.85713,0.86573,0.72234,0.83258,0.60703,0.82025,1.03798,0.86411,0.000131133,0.000131133,0.000131133
14,29588.9,0.8721,1.09045,0.85159,0.83411,0.80399,0.85307,0.62616,0.82308,1.05574,0.86587,0.000127727,0.000127727,0.000127727
15,31577.5,0.87232,1.04687,0.84723,0.84965,0.82056,0.87569,0.63219,0.79256,0.93156,0.85697,0.000124322,0.000124322,0.000124322
16,33565,0.86577,1.00575,0.85086,0.88792,0.79909,0.86495,0.64081,0.80066,0.92735,0.85674,0.000120916,0.000120916,0.000120916
17,35572.1,0.85514,0.97693,0.84795,0.90783,0.80601,0.8857,0.65809,0.78488,0.89364,0.86008,0.00011751,0.00011751,0.00011751
18,37561.1,0.85353,0.94257,0.85021,0.89572,0.81546,0.8865,0.65541,0.77854,0.88721,0.8507,0.000114105,0.000114105,0.000114105
19,39548.4,0.83438,0.91674,0.8475,0.92913,0.79065,0.8932,0.66504,0.77387,0.85268,0.85218,0.000110699,0.000110699,0.000110699
20,41536.7,0.84293,0.88807,0.84989,0.91713,0.8169,0.90279,0.67093,0.77929,0.81281,0.85833,0.000107294,0.000107294,0.000107294
21,43526.9,0.83107,0.86412,0.84807,0.88124,0.85324,0.90505,0.67701,0.76438,0.80394,0.85131,0.000103888,0.000103888,0.000103888
22,45514.9,0.81858,0.85017,0.84149,0.90824,0.84639,0.90991,0.67584,0.77224,0.79724,0.85449,0.000100482,0.000100482,0.000100482
23,47499.3,0.81241,0.83296,0.84469,0.91199,0.83573,0.90495,0.67506,0.76043,0.75394,0.85467,9.70768e-05,9.70768e-05,9.70768e-05
24,49480.4,0.80565,0.80958,0.83887,0.89814,0.83665,0.90756,0.68031,0.7551,0.75467,0.85113,9.36712e-05,9.36712e-05,9.36712e-05
25,51462,0.80806,0.80108,0.84026,0.87618,0.86628,0.91174,0.68026,0.7579,0.77166,0.85759,9.02656e-05,9.02656e-05,9.02656e-05
26,53458.8,0.80346,0.77773,0.84005,0.9026,0.8523,0.9035,0.67507,0.74964,0.73257,0.85206,8.686e-05,8.686e-05,8.686e-05
